GEO_NAME,Arab,Black,Chinese,Filipino,Japanese,Korean,Latin American,Multiple Indigenous ancestries (only),Multiple Indigenous and non-Indigenous ancestries,Multiple visible minorities,Single Indigenous ancestry (only),Single Indigenous and non-Indigenous ancestries,South Asian,Southeast Asian,"Visible minority, n.i.e.",West Asian
Canmore,60.0,55.0,255.0,555.0,330.0,75.0,185.0,0.0,0.0,35.0,32.5,270.0,400.0,80.0,25.0,10.0
"Canmore, Town (T)",60.0,55.0,255.0,555.0,330.0,75.0,185.0,0.0,0.0,35.0,32.5,270.0,400.0,80.0,25.0,10.0
"Cantley, Municipalité (MÉ)",50.0,115.0,35.0,0.0,0.0,0.0,80.0,0.0,0.0,60.0,167.5,400.0,40.0,20.0,10.0,0.0
Cape Breton,220.0,1255.0,615.0,340.0,25.0,80.0,80.0,4.0,16.0,75.0,2490.0,1671.25,1985.0,140.0,50.0,75.0
"Cape Breton, Regional municipality (RGM)",220.0,1250.0,615.0,340.0,25.0,80.0,80.0,4.0,16.0,75.0,491.25,1461.25,1985.0,140.0,50.0,75.0
"Capilano 5, Indian reserve (IRI)",0.0,15.0,45.0,10.0,30.0,40.0,40.0,0.0,0.0,0.0,358.75,141.25,90.0,25.0,0.0,700.0
"Cariboo A, Regional district electoral area (RDA)",30.0,20.0,20.0,70.0,0.0,0.0,20.0,0.0,8.0,0.0,130.0,315.0,10.0,0.0,0.0,0.0
"Cariboo B, Regional district electoral area (RDA)",0.0,0.0,0.0,30.0,15.0,0.0,0.0,0.0,4.0,0.0,53.75,218.75,10.0,0.0,0.0,0.0
"Cariboo C, Regional district electoral area (RDA)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.25,71.25,0.0,0.0,0.0,0.0
"Cariboo D, Regional district electoral area (RDA)",0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,182.5,0.0,0.0,0.0,0.0
"Cariboo E, Regional district electoral area (RDA)",0.0,20.0,0.0,25.0,0.0,0.0,10.0,8.0,4.0,0.0,122.5,202.5,10.0,0.0,0.0,0.0
"Cariboo F, Regional district electoral area (RDA)",0.0,15.0,15.0,10.0,10.0,0.0,20.0,0.0,4.0,0.0,105.0,221.25,0.0,45.0,0.0,0.0
"Cariboo I, Regional district electoral area (RDA)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.25,71.25,0.0,0.0,0.0,0.0
"Carignan, Ville (V)",240.0,385.0,90.0,0.0,0.0,0.0,130.0,0.0,0.0,10.0,100.0,100.0,110.0,60.0,0.0,260.0
"Carleton Place, Town (T)",80.0,275.0,55.0,25.0,35.0,0.0,80.0,6.0,14.0,20.0,106.25,302.5,180.0,40.0,10.0,10.0
"Cavan Monaghan, Township (TP)",10.0,185.0,25.0,40.0,0.0,20.0,10.0,0.0,0.0,20.0,41.25,138.75,175.0,10.0,10.0,0.0
"Central Elgin, Municipality (MU)",20.0,105.0,80.0,15.0,15.0,35.0,30.0,0.0,0.0,10.0,40.0,165.0,80.0,20.0,0.0,0.0
"Central Kootenay E, Regional district electoral area (RDA)",0.0,25.0,0.0,0.0,30.0,0.0,10.0,0.0,0.0,0.0,7.5,161.25,20.0,10.0,0.0,0.0
"Central Kootenay F, Regional district electoral area (RDA)",0.0,0.0,25.0,30.0,15.0,0.0,20.0,0.0,0.0,0.0,17.5,98.75,10.0,0.0,0.0,0.0
"Central Okanagan West, Regional district electoral area (RDA)",0.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,67.5,15.0,0.0,0.0,0.0
"Central Okanagan, Regional district electoral area (RDA)",0.0,30.0,50.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,12.5,135.0,105.0,0.0,0.0,0.0
"Central Saanich, District municipality (DM)",10.0,105.0,295.0,210.0,75.0,35.0,90.0,0.0,24.0,60.0,55.0,307.5,490.0,45.0,20.0,25.0
Centre Wellington,10.0,300.0,115.0,205.0,20.0,35.0,90.0,0.0,0.0,105.0,57.5,353.75,620.0,25.0,50.0,15.0
"Centre Wellington, Township (TP)",10.0,300.0,115.0,205.0,20.0,35.0,90.0,0.0,0.0,105.0,57.5,353.75,620.0,25.0,50.0,15.0
"Chambly, Ville (V)",600.0,1105.0,310.0,30.0,35.0,0.0,450.0,0.0,0.0,95.0,125.0,453.75,45.0,120.0,35.0,215.0
"Champlain, Municipalité (MÉ)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,27.5,0.0,0.0,0.0,0.0
"Charlemagne, Ville (V)",110.0,220.0,15.0,0.0,0.0,0.0,135.0,0.0,0.0,20.0,37.5,60.0,0.0,15.0,0.0,0.0
Charlottetown,1005.0,1515.0,2865.0,525.0,155.0,100.0,455.0,0.0,5.0,120.0,362.5,845.0,3055.0,885.0,105.0,280.0
"Charlottetown, City (CY)",855.0,1090.0,1890.0,450.0,85.0,60.0,240.0,0.0,4.0,80.0,167.5,391.25,2390.0,745.0,85.0,220.0
